Valor,Contagem
0,1
1,48
2,29
3,12
4,23
5,22
6,1
7,531
8,129
Valor,Contagem
0,1
1,408
2,33
3,1
4,47
5,88
6,38
7,72
8,5
9,102
Valor,Contagem
1,296
2,177
3,29
5,42
6,32
7,177
8,40
9,2
Valor,Contagem
0,117
1,27
2,355
3,16
4,177
5,33
7,12
9,58
Valor,Contagem
0,56
2,20
3,22
4,129
5,93
6,6
8,16
9,455
Valor,Contagem
0,15
1,100
2,4
3,6
4,237
5,20
6,33
7,188
8,30
9,163
Valor,Contagem
0,24
1,477
2,3
3,68
4,110
5,4
6,38
7,14
8,57
Valor,Contagem
0,171
1,52
2,324
3,12
4,17
6,28
7,152
8,28
9,12
Valor,Contagem
0,40
1,97
2,210
3,31
4,49
5,73
6,49
7,235
8,11
Valor,Contagem
0,10
1,52
3,76
4,304
5,12
7,40
8,26
9,277
Valor,Contagem
0,71
1,296
2,11
3,238
4,78
5,7
6,17
7,69
8,2
9,7
Valor,Contagem
0,65
1,121
2,139
3,102
4,16
5,240
6,2
7,97
8,13
Valor,Contagem
0,98
1,41
2,94
3,52
4,37
5,168
7,246
8,17
9,42
Valor,Contagem
0,20
2,13
3,78
4,27
5,2
6,262
7,136
8,245
9,13
Valor,Contagem
0,174
2,165
3,24
4,12
5,4
6,310
7,72
8,32
9,4
Valor,Contagem
0,82
1,209
3,17
5,157
6,40
7,281
8,4
9,6
Valor,Contagem
0,33
1,332
2,6
4,77
5,81
6,11
8,76
9,181
Valor,Contagem
0,263
1,64
4,14
5,11
6,344
7,65
8,28
9,8
Valor,Contagem
0,4
1,69
2,222
3,116
4,234
5,80
6,16
7,53
9,2
Valor,Contagem
0,123
1,45
2,17
3,12
4,212
5,120
6,44
7,4
8,199
9,20
Valor,Contagem
0,136
1,103
2,1
3,12
4,50
5,6
6,188
7,232
8,11
9,58
Valor,Contagem
1,128
2,103
3,32
4,253
5,8
7,4
8,30
9,240
Valor,Contagem
1,95
2,17
3,266
4,216
7,121
8,23
9,58
Valor,Contagem
0,3
1,426
2,80
3,2
4,47
5,32
6,35
7,144
8,4
9,24
Valor,Contagem
0,11
3,488
4,3
5,13
6,91
7,2
8,1
9,187
Valor,Contagem
0,68
1,21
2,12
3,24
4,280
5,130
6,5
8,208
9,48
Valor,Contagem
0,305
1,16
2,4
3,6
4,33
7,224
8,65
9,143
Valor,Contagem
0,84
1,59
2,32
3,12
5,600
6,2
8,8
Valor,Contagem
0,230
1,1
2,66
3,121
4,46
5,137
7,176
8,19
Valor,Contagem
0,53
1,14
2,340
3,80
4,69
5,125
6,23
7,63
8,18
9,10
Valor,Contagem
0,47
1,30
2,15
3,1
4,21
5,138
7,124
8,48
9,371
Valor,Contagem
0,35
1,66
2,65
3,4
6,212
7,9
8,206
9,200
Valor,Contagem
0,24
2,24
3,123
4,2
5,141
6,280
7,76
8,14
9,112
Valor,Contagem
0,220
1,124
2,4
3,4
4,72
5,102
6,23
7,74
8,98
9,75
Valor,Contagem
0,15
1,8
2,6
3,64
4,37
5,52
6,3
7,257
8,299
9,55
Valor,Contagem
1,4
2,64
3,224
4,59
5,82
6,3
7,27
8,83
9,251
Valor,Contagem
0,244
1,230
3,49
4,1
5,60
6,9
7,37
8,133
9,32
Valor,Contagem
0,33
1,255
2,38
3,48
4,32
5,175
7,205
8,2
9,8
Valor,Contagem
1,8
2,128
3,42
4,177
5,56
6,126
7,169
8,13
9,76
Valor,Contagem
0,12
1,3
2,60
3,18
4,166
5,44
6,24
7,209
8,243
9,18
Valor,Contagem
0,16
1,25
2,276
3,47
4,8
6,280
7,105
8,2
9,37
Valor,Contagem
0,48
2,72
3,4
4,345
5,63
6,50
7,114
8,1
9,100
Valor,Contagem
0,20
1,28
2,51
3,107
4,284
5,8
6,2
7,14
8,9
9,272
Valor,Contagem
0,72
1,8
2,84
3,208
4,29
6,4
7,73
8,255
9,62
Valor,Contagem
0,76
1,40
2,4
3,121
4,70
5,8
6,104
7,82
8,4
9,288
Valor,Contagem
1,260
2,212
3,8
4,22
6,122
7,24
8,140
9,8
Valor,Contagem
0,4
1,608
2,4
3,32
4,23
5,42
7,24
8,45
9,12
Valor,Contagem
0,155
1,116
2,13
3,4
4,16
5,8
6,60
7,144
8,85
9,195
Valor,Contagem
0,162
1,142
3,179
4,34
5,6
6,40
7,51
8,100
9,82
Valor,Contagem
0,72
1,176
2,17
3,68
4,25
5,27
6,12
7,160
8,1
9,237
Valor,Contagem
0,96
1,213
2,239
3,100
4,1
5,7
7,126
9,13
Valor,Contagem
0,149
1,11
2,73
3,24
4,280
5,14
6,32
7,7
8,30
9,176
Valor,Contagem
0,236
1,20
2,12
3,58
4,21
5,8
6,68
7,132
8,43
9,198
Valor,Contagem
1,19
2,19
3,66
4,45
5,316
6,264
7,1
8,28
9,38
Valor,Contagem
0,12
1,28
2,28
3,151
4,2
5,91
6,355
7,93
8,20
9,16
Valor,Contagem
0,115
1,12
3,48
4,7
5,268
6,124
7,6
8,6
9,210
Valor,Contagem
1,46
2,32
3,65
4,87
6,363
7,133
8,9
9,61
Valor,Contagem
1,216
2,34
3,68
4,169
5,22
6,48
7,176
9,62
Valor,Contagem
0,203
1,106
2,9
3,65
4,6
5,12
6,111
7,134
8,15
9,135
Valor,Contagem
1,44
2,86
3,91
4,21
5,28
6,66
7,244
8,67
9,151
Valor,Contagem
1,8
4,548
5,1
6,30
7,169
8,8
9,32
Valor,Contagem
0,8
1,488
2,2
3,1
4,4
5,149
7,130
8,1
9,13
Valor,Contagem
0,19
1,20
2,210
3,128
4,179
5,37
6,3
7,31
8,124
9,46
Valor,Contagem
0,5
1,24
2,166
3,4
4,1
5,44
6,95
7,4
8,4
9,448
Valor,Contagem
0,4
1,67
2,47
3,145
4,8
6,160
7,293
8,29
9,43
Valor,Contagem
0,12
1,192
2,33
3,294
4,106
5,18
6,7
7,17
9,116
Valor,Contagem
0,89
1,196
2,281
3,32
4,50
5,9
6,33
7,90
8,12
9,3
Valor,Contagem
0,328
1,75
2,158
4,27
5,97
6,4
7,43
8,66
Valor,Contagem
0,34
1,30
3,46
4,251
5,42
6,128
7,139
8,97
9,29
Valor,Contagem
0,174
1,20
2,125
3,3
4,62
5,12
6,49
7,194
8,24
9,132
Valor,Contagem
0,54
1,176
2,139
3,330
7,72
9,28
Valor,Contagem
0,2
1,32
2,60
3,2
4,14
5,7
6,6
7,112
8,531
9,30
Valor,Contagem
0,96
1,264
2,12
3,137
4,24
5,203
6,14
7,28
9,16
Valor,Contagem
0,64
1,10
2,87
3,92
4,5
5,56
6,98
7,136
8,221
9,26
Valor,Contagem
0,1
1,161
2,8
3,3
4,142
5,60
6,236
7,78
8,85
9,21
Valor,Contagem
0,292
1,13
2,328
3,4
4,30
5,15
7,16
8,99
Valor,Contagem
0,165
1,40
2,1
3,36
4,268
5,168
6,76
7,28
8,12
9,2
Valor,Contagem
0,234
1,48
3,18
4,76
5,293
6,20
7,88
8,3
9,17
Valor,Contagem
0,65
1,24
2,276
3,163
5,53
7,187
8,6
9,21
Valor,Contagem
0,38
1,219
2,93
3,1
4,193
5,79
6,16
7,20
8,13
9,124
Valor,Contagem
0,12
1,39
3,48
4,10
5,50
6,267
7,79
8,76
9,216
Valor,Contagem
0,55
1,210
2,24
3,23
4,4
5,28
6,107
7,13
9,332
Valor,Contagem
0,153
1,36
2,3
3,14
4,72
5,206
6,5
7,147
8,4
9,156
Valor,Contagem
0,36
1,17
2,4
3,47
4,10
5,54
6,49
7,4
8,9
9,566
Valor,Contagem
0,45
1,134
2,6
3,44
4,54
5,95
6,76
7,17
8,299
9,27
Valor,Contagem
0,102
1,379
2,56
3,14
4,4
5,12
6,162
7,3
8,11
9,54
Valor,Contagem
0,86
1,62
2,43
3,256
4,172
6,45
7,80
8,13
9,40
Valor,Contagem
0,14
1,8
2,4
3,28
4,246
5,2
6,35
7,266
8,11
9,181
Valor,Contagem
0,32
1,40
2,232
3,82
4,20
5,3
6,28
7,4
8,336
9,18
Valor,Contagem
0,21
1,35
2,75
3,21
4,98
5,303
6,12
7,128
8,26
9,77
Valor,Contagem
0,40
1,426
2,2
3,129
5,1
6,187
9,11
Valor,Contagem
0,82
1,44
2,11
3,166
4,105
