Valor,Contagem
4,5
5,633
6,5
8,155
Valor,Contagem
3,1
6,210
7,541
8,46
Valor,Contagem
2,374
3,58
5,5
6,248
8,101
9,11
Valor,Contagem
2,15
3,387
5,11
6,314
7,72
Valor,Contagem
5,768
8,29
Valor,Contagem
0,243
1,236
2,1
3,32
6,2
9,283
Valor,Contagem
1,4
3,281
6,374
8,140
Valor,Contagem
2,785
3,3
5,5
8,4
Valor,Contagem
0,194
1,16
4,146
5,325
7,16
9,100
Valor,Contagem
0,3
1,104
5,691
Valor,Contagem
0,101
2,385
4,9
6,39
8,263
Valor,Contagem
0,9
3,35
5,50
7,88
9,616
Valor,Contagem
0,80
3,64
4,655
Valor,Contagem
0,27
2,3
3,30
5,77
8,661
Valor,Contagem
6,479
7,10
8,40
9,269
Valor,Contagem
0,4
1,59
2,4
3,614
7,48
9,69
Valor,Contagem
3,9
4,657
5,89
8,43
Valor,Contagem
0,36
1,2
8,760
Valor,Contagem
0,777
2,3
6,1
7,3
8,14
Valor,Contagem
0,17
1,104
5,36
6,68
7,572
8,1
Valor,Contagem
0,252
2,448
4,64
5,3
8,31
Valor,Contagem
1,19
2,58
3,657
5,1
6,63
Valor,Contagem
0,5
1,159
2,452
3,181
Valor,Contagem
0,177
1,4
2,330
5,286
Valor,Contagem
0,108
1,23
3,4
6,167
8,493
9,3
Valor,Contagem
3,370
5,5
9,424
Valor,Contagem
3,41
7,171
9,587
Valor,Contagem
1,467
3,7
4,316
6,8
Valor,Contagem
0,145
2,1
3,3
4,2
5,119
6,133
7,372
9,21
Valor,Contagem
1,20
2,589
4,158
5,4
7,25
Valor,Contagem
0,260
1,3
2,68
3,163
6,304
Valor,Contagem
3,260
4,498
6,14
7,26
Valor,Contagem
2,4
4,789
5,1
9,2
Valor,Contagem
3,127
5,628
6,3
7,40
Valor,Contagem
5,617
6,6
9,176
Valor,Contagem
0,102
1,598
3,1
7,97
Valor,Contagem
0,24
3,532
4,243
Valor,Contagem
1,796
5,1
6,2
Valor,Contagem
0,2
3,415
6,21
7,163
8,197
Valor,Contagem
3,1
4,183
5,304
8,311
Valor,Contagem
3,137
8,640
9,21
Valor,Contagem
1,2
5,12
7,170
8,615
Valor,Contagem
0,54
2,3
4,4
5,68
8,11
9,657
Valor,Contagem
1,228
2,2
3,1
6,567
Valor,Contagem
0,6
6,24
7,764
8,3
9,1
Valor,Contagem
0,2
1,722
5,44
6,28
9,1
Valor,Contagem
1,12
2,12
3,380
8,36
9,356
Valor,Contagem
3,307
4,17
5,6
9,468
Valor,Contagem
0,366
3,1
4,10
5,1
8,412
9,7
Valor,Contagem
0,24
2,424
4,3
5,334
6,11
8,2
Valor,Contagem
0,97
4,84
5,6
6,110
7,464
9,36
Valor,Contagem
2,510
4,9
5,153
6,11
7,108
9,5
Valor,Contagem
0,772
1,20
5,6
Valor,Contagem
0,24
1,22
2,1
3,127
4,496
5,63
6,62
7,3
Valor,Contagem
0,296
3,103
4,345
9,54
Valor,Contagem
1,4
3,760
4,28
9,7
Valor,Contagem
0,1
2,4
5,427
6,164
8,150
9,51
Valor,Contagem
0,185
2,452
3,5
5,4
6,125
7,26
Valor,Contagem
5,228
7,570
Valor,Contagem
1,471
2,8
5,314
6,4
Valor,Contagem
7,3
9,796
Valor,Contagem
0,725
6,41
7,32
Valor,Contagem
1,59
3,407
4,183
9,150
Valor,Contagem
0,625
1,26
7,148
Valor,Contagem
1,789
2,8
7,1
Valor,Contagem
0,80
2,2
3,367
4,16
6,177
8,50
9,105
Valor,Contagem
0,32
3,9
6,748
9,8
Valor,Contagem
0,316
3,125
4,269
6,2
7,8
8,25
9,52
Valor,Contagem
2,735
4,1
5,25
7,37
Valor,Contagem
0,7
2,24
5,7
6,61
7,248
8,451
Valor,Contagem
0,249
