Valor,Contagem
0,3
4,60
6,128
7,605
8,1
Valor,Contagem
1,24
5,77
7,697
Valor,Contagem
2,112
3,182
5,505
Valor,Contagem
1,178
3,64
4,96
5,113
7,347
Valor,Contagem
3,1
5,668
6,30
7,81
9,16
Valor,Contagem
1,144
2,230
5,42
7,14
8,368
Valor,Contagem
0,102
1,3
5,5
8,33
9,654
Valor,Contagem
0,422
3,16
5,332
6,7
7,13
8,7
Valor,Contagem
2,7
5,240
6,83
7,381
8,87
Valor,Contagem
0,65
1,276
4,395
8,62
Valor,Contagem
0,15
2,212
3,496
5,22
6,4
7,48
Valor,Contagem
1,8
4,20
5,32
6,101
7,631
8,1
9,3
Valor,Contagem
1,264
4,1
6,430
9,102
Valor,Contagem
2,5
3,36
5,180
6,561
8,9
9,5
Valor,Contagem
1,93
2,1
5,156
6,297
7,2
9,248
Valor,Contagem
4,708
9,90
Valor,Contagem
3,150
5,394
8,255
Valor,Contagem
0,1
2,508
3,16
5,39
6,2
7,88
8,5
9,138
Valor,Contagem
2,490
3,304
6,3
Valor,Contagem
1,368
3,1
6,92
8,4
9,333
Valor,Contagem
0,1
3,3
8,795
Valor,Contagem
0,1
2,12
4,3
6,28
7,15
8,736
9,3
Valor,Contagem
1,19
3,186
4,413
8,170
9,10
Valor,Contagem
0,481
1,16
3,26
4,1
5,208
7,61
9,4
Valor,Contagem
2,179
6,496
8,87
9,36
Valor,Contagem
1,352
8,429
9,16
Valor,Contagem
1,16
5,7
6,8
7,603
8,162
9,2
Valor,Contagem
0,3
2,3
4,29
6,3
7,10
9,750
Valor,Contagem
0,74
2,76
3,634
6,3
7,11
Valor,Contagem
0,10
9,789
Valor,Contagem
0,648
2,2
6,140
8,8
Valor,Contagem
0,54
4,134
7,604
8,7
Valor,Contagem
0,140
2,2
3,22
5,292
6,165
7,174
8,2
Valor,Contagem
5,16
7,116
9,666
Valor,Contagem
0,20
1,555
2,87
3,12
5,1
6,12
8,110
Valor,Contagem
2,296
3,56
7,424
9,22
