Valor,Contagem
0,88
1,78
2,67
3,134
4,65
5,16
6,57
7,152
8,41
9,98
Valor,Contagem
0,60
1,63
2,135
3,88
4,65
5,73
6,38
7,153
8,90
9,32
Valor,Contagem
0,75
1,63
2,139
3,52
4,167
5,108
6,74
7,33
8,24
9,62
Valor,Contagem
0,75
1,94
2,135
3,58
4,101
5,87
6,61
7,39
8,85
9,61
Valor,Contagem
0,44
1,3
2,185
3,80
4,84
5,28
6,140
7,84
8,87
9,63
Valor,Contagem
0,96
1,74
2,76
3,68
4,42
5,73
6,51
7,46
8,184
9,85
Valor,Contagem
0,86
1,51
2,55
3,87
4,103
5,111
6,38
7,30
8,122
9,114
Valor,Contagem
0,32
1,35
2,89
3,43
4,100
5,102
6,206
7,62
8,68
9,59
Valor,Contagem
0,35
1,36
2,80
3,84
4,110
5,106
6,64
7,130
8,60
9,92
Valor,Contagem
0,69
1,108
2,34
3,62
4,57
5,116
6,72
7,138
8,67
9,72
Valor,Contagem
0,100
1,70
2,74
3,67
4,113
5,45
6,48
7,23
8,56
9,200
Valor,Contagem
0,100
1,118
2,54
3,85
4,92
5,56
6,48
7,50
8,100
9,91
Valor,Contagem
0,108
1,51
2,24
3,123
4,47
5,53
6,186
7,27
8,128
9,49
Valor,Contagem
0,92
1,60
2,122
3,72
4,40
5,113
6,28
7,20
8,98
9,149
Valor,Contagem
0,57
1,170
2,23
3,100
4,113
5,69
6,44
7,73
8,65
9,80
Valor,Contagem
0,60
1,97
2,61
3,85
4,148
5,60
6,76
7,89
8,35
9,85
Valor,Contagem
0,108
1,74
2,92
3,92
4,72
5,134
6,35
7,46
8,51
9,94
Valor,Contagem
0,69
1,92
2,139
3,84
4,115
5,23
6,99
7,48
8,95
9,33
Valor,Contagem
0,28
1,100
2,119
3,96
4,59
5,45
6,107
7,96
8,111
9,35
Valor,Contagem
0,80
1,81
2,54
3,76
4,88
5,21
6,171
7,54
8,119
9,52
Valor,Contagem
0,61
1,91
2,104
3,96
4,96
5,97
6,40
7,58
8,57
9,95
Valor,Contagem
0,180
1,66
2,57
3,96
4,52
5,96
6,92
7,70
8,27
9,60
Valor,Contagem
0,50
1,75
2,106
3,94
4,102
5,58
6,9
7,58
8,160
9,84
Valor,Contagem
0,51
1,81
2,45
3,91
4,99
5,60
6,69
7,111
8,72
9,117
Valor,Contagem
0,67
1,75
2,100
3,125
4,38
5,120
6,20
7,118
8,47
9,88
Valor,Contagem
0,83
1,44
2,24
3,99
4,48
5,142
6,27
7,123
8,88
9,120
Valor,Contagem
0,68
1,180
2,104
3,32
4,48
5,23
6,37
7,106
8,87
9,111
Valor,Contagem
0,152
1,32
2,71
3,105
4,80
5,113
6,34
7,31
8,120
9,58
Valor,Contagem
0,47
1,101
2,54
3,109
4,79
5,64
6,132
7,46
8,102
9,62
Valor,Contagem
0,93
1,127
2,96
3,103
4,78
5,73
6,60
7,41
8,67
9,57
Valor,Contagem
0,68
1,55
2,53
3,80
4,112
5,90
6,149
7,63
8,43
9,83
Valor,Contagem
0,72
1,52
2,73
3,94
4,50
5,70
6,143
7,111
8,84
9,46
Valor,Contagem
0,63
1,29
2,77
3,66
4,100
5,51
6,156
7,92
8,36
9,126
Valor,Contagem
0,58
1,152
2,75
3,100
4,124
5,26
6,39
7,84
8,68
9,72
Valor,Contagem
0,54
1,93
2,29
3,32
4,26
5,112
6,86
7,182
8,64
9,117
Valor,Contagem
0,80
1,99
2,153
3,58
4,64
5,97
6,89
7,25
8,55
9,76
Valor,Contagem
0,83
1,44
2,51
3,40
4,65
5,110
6,74
7,131
8,68
9,129
Valor,Contagem
0,66
1,71
2,102
3,113
4,114
5,21
6,50
7,100
8,83
9,76
Valor,Contagem
0,80
1,111
2,68
3,52
4,64
5,85
6,125
7,44
8,72
9,94
Valor,Contagem
0,55
1,96
2,51
3,62
4,101
5,62
6,60
7,99
8,90
9,120
Valor,Contagem
0,74
1,124
2,65
3,57
4,96
5,49
6,144
7,81
8,62
9,44
Valor,Contagem
0,68
1,88
2,66
3,148
4,54
5,65
6,124
7,100
8,34
9,50
Valor,Contagem
0,142
1,112
2,54
3,97
4,24
5,72
6,100
7,76
8,44
9,74
Valor,Contagem
0,112
1,32
2,57
3,45
4,66
5,192
6,59
7,88
8,52
9,92
Valor,Contagem
0,92
1,122
2,80
3,108
4,77
5,84
6,67
7,37
8,102
9,28
Valor,Contagem
0,138
1,27
2,78
3,74
4,79
5,30
6,80
7,64
