Valor,Contagem
0,250
1,120
2,64
4,129
6,81
7,34
8,116
9,1
Valor,Contagem
0,7
1,1
2,25
3,100
4,233
5,195
6,150
7,34
9,51
Valor,Contagem
0,9
1,39
2,19
3,104
4,59
5,59
6,12
7,70
8,130
9,296
Valor,Contagem
0,40
1,50
2,12
4,8
5,43
6,234
7,188
8,71
9,151
Valor,Contagem
1,217
2,226
3,146
4,18
5,36
7,23
8,101
9,28
Valor,Contagem
0,8
1,293
2,43
3,90
4,14
5,48
6,204
7,34
8,32
9,30
Valor,Contagem
0,112
1,155
2,255
4,28
6,80
7,54
8,104
9,8
Valor,Contagem
0,24
1,40
2,12
3,211
4,316
5,100
6,7
7,1
8,1
9,84
Valor,Contagem
0,19
1,9
2,47
3,16
4,45
5,227
6,166
7,225
8,43
Valor,Contagem
0,102
1,50
2,79
3,25
5,33
6,149
7,46
8,8
9,304
Valor,Contagem
0,28
1,88
2,2
3,108
4,4
5,78
6,1
7,176
8,26
9,284
Valor,Contagem
0,180
1,143
2,60
3,4
4,10
5,96
6,212
7,89
8,3
Valor,Contagem
0,61
1,141
3,44
4,36
5,43
6,4
7,192
8,46
9,229
Valor,Contagem
0,56
1,136
2,15
3,11
4,57
5,12
6,189
7,1
8,315
9,4
Valor,Contagem
0,99
1,25
2,108
3,280
5,94
6,52
7,15
8,6
9,117
Valor,Contagem
0,45
1,17
2,408
3,133
4,139
5,9
6,28
7,4
8,8
9,6
Valor,Contagem
0,329
1,1
2,1
3,23
4,8
5,139
6,134
7,134
8,7
9,20
Valor,Contagem
0,99
2,53
3,17
4,340
5,165
6,96
7,1
9,24
Valor,Contagem
0,70
2,77
3,5
4,2
5,116
6,443
7,56
8,12
9,16
Valor,Contagem
0,168
1,25
2,77
3,28
4,274
5,13
6,74
7,12
8,125
Valor,Contagem
0,160
1,4
3,20
4,37
5,189
6,168
7,104
8,10
9,104
Valor,Contagem
0,14
1,127
2,14
3,154
4,39
5,110
6,140
7,33
8,163
9,2
Valor,Contagem
1,3
2,15
3,244
4,108
5,214
6,41
7,68
8,104
Valor,Contagem
0,88
1,20
2,204
3,72
4,120
5,152
6,92
7,11
8,1
9,37
Valor,Contagem
0,28
1,113
2,1
3,324
4,42
5,165
6,22
7,84
8,16
Valor,Contagem
0,19
1,1
2,165
5,44
6,232
7,195
9,140
Valor,Contagem
0,214
1,113
2,42
3,1
4,24
5,18
6,5
7,79
8,300
Valor,Contagem
0,3
1,165
2,1
3,4
4,354
5,34
6,89
8,119
9,26
Valor,Contagem
0,2
1,90
3,132
5,373
6,24
7,22
8,124
9,29
Valor,Contagem
0,1
2,264
3,12
5,16
6,38
7,71
8,1
9,393
Valor,Contagem
0,65
1,135
2,42
3,23
4,7
5,84
6,249
8,6
9,185
Valor,Contagem
1,6
3,91
4,40
5,288
6,187
7,41
8,124
9,20
Valor,Contagem
0,88
1,20
2,3
3,34
4,11
5,3
6,212
7,36
8,12
9,379
Valor,Contagem
0,224
1,15
3,26
4,23
5,4
6,128
7,36
8,263
9,77
Valor,Contagem
0,128
1,40
2,201
3,10
4,51
5,156
6,134
7,9
8,62
9,5
Valor,Contagem
0,7
1,533
2,38
3,3
4,16
5,68
7,16
8,103
9,12
Valor,Contagem
0,150
1,164
2,36
3,11
4,284
5,34
6,96
7,5
8,16
Valor,Contagem
1,247
4,71
5,45
6,61
7,139
8,104
9,130
Valor,Contagem
0,244
1,2
2,4
3,83
4,1
5,71
6,173
7,38
8,179
9,1
Valor,Contagem
0,144
1,24
2,135
4,213
5,102
6,18
7,76
8,28
9,55
Valor,Contagem
0,108
1,19
2,40
3,207
5,128
6,178
7,30
8,31
9,55
Valor,Contagem
0,48
1,248
2,216
3,8
4,15
5,48
