1,6,11
2,44,11
3,686,11
4,29,11
5,1,11
7,3,11
8,28,11
1,40,8
2,305,8
5,149,8
7,100,8
9,204,8
1,136,17
2,8,17
5,26,17
8,539,17
9,88,17
0,1,14
4,429,14
6,23,14
8,22,14
9,323,14
0,421,18
1,17,18
6,146,18
7,170,18
8,4,18
9,40,18
0,70,16
2,115,16
3,246,16
4,20,16
7,347,16
1,126,4
2,4,4
4,16,4
5,3,4
8,589,4
9,59,4
1,301,6
2,124,6
3,325,6
4,24,6
7,1,6
8,22,6
1,600,10
9,200,10
3,72,5
4,264,5
5,284,5
8,172,5
9,4,5
1,140,11
5,49,11
6,4,11
8,604,11
0,32,0
2,8,0
3,568,0
4,19,0
6,13,0
9,157,0
0,771,15
1,28,15
0,12,2
2,577,2
4,45,2
5,164,2
1,585,9
7,214,9
0,23,12
1,88,12
2,4,12
5,10,12
6,142,12
7,77,12
8,355,12
9,98,12
2,75,7
3,483,7
4,117,7
6,88,7
7,12,7
9,23,7
4,678,1
5,14,1
6,72,1
7,5,1
9,28,1
1,8,3
4,790,3
0,1,19
2,766,19
6,30,19
8,1,19
0,307,13
2,217,13
4,3,13
5,1,13
7,270,13
2,784,8
3,1,8
4,7,8
8,5,8
3,88,12
4,8,12
5,591,12
6,5,12
7,65,12
9,41,12
1,7,17
4,10,17
5,681,17
8,64,17
9,36,17
0,42,11
5,717,11
7,8,11
8,31,11
1,563,19
3,32,19
8,2,19
9,202,19
3,37,15
4,21,15
6,64,15
7,264,15
8,23,15
9,387,15
0,13,2
1,437,2
2,235,2
3,11,2
7,100,2
8,1,2
5,427,4
6,36,4
7,225,4
8,104,4
9,7,4
0,19,10
1,420,10
2,2,10
4,220,10
5,28,10
7,109,10
0,12,18
3,10,18
4,1,18
5,44,18
8,724,18
9,5,18
0,547,5
3,8,5
4,3,5
5,128,5
6,96,5
7,7,5
9,9,5
0,12,16
1,24,16
2,548,16
3,56,16
5,2,16
6,2,16
7,2,16
8,152,16
0,118,1
3,1,1
4,52,1
6,314,1
9,312,1
0,95,14
4,7,14
5,167,14
6,2,14
7,524,14
8,4,14
0,4,6
2,740,6
3,4,6
5,3,6
6,20,6
8,14,6
9,12,6
0,272,13
1,113,13
2,107,13
8,306,13
0,124,9
1,428,9
4,236,9
6,8,9
2,2,7
3,3,7
4,790,7
7,3,7
4,20,3
6,526,3
7,251,3
2,706,0
3,59,0
6,16,0
9,16,0
2,8,13
4,356,13
5,20,13
6,61,13
7,335,13
8,17,13
0,1,1
1,202,1
2,75,1
3,8,1
4,2,1
5,25,1
7,80,1
8,299,1
9,104,1
2,4,7
3,492,7
4,8,7
5,110,7
6,152,7
7,32,7
0,345,12
1,193,12
2,219,12
9,41,12
2,527,0
4,98,0
5,64,0
8,108,0
1,424,4
3,20,4
7,36,4
8,198,4
9,119,4
1,36,14
3,22,14
4,135,14
5,39,14
6,8,14
7,128,14
8,429,14
9,1,14
0,1,10
1,5,10
2,757,10
3,16,10
5,5,10
7,5,10
8,8,10
2,19,18
4,41,18
6,2,18
7,480,18
8,15,18
9,241,18
3,466,15
4,99,15
5,228,15
6,2,15
7,3,15
1,705,8
5,82,8
6,10,8
0,92,9
3,63,9
4,143,9
5,11,9
7,436,9
8,52,9
0,12,19
1,207,19
5,142,19
6,20,19
7,1,19
8,216,19
9,200,19
0,12,6
1,83,6
5,24,6
6,1,6
7,536,6
8,137,6
9,3,6
0,9,16
3,647,16
5,6,16
9,136,16
2,6,2
3,1,2
4,666,2
7,122,2
9,2,2
1,26,5
2,345,5
4,15,5
5,397,5
7,15,5
1,3,11
2,54,11
3,1,11
5,65,11
6,308,11
9,367,11
1,64,17
2,40,17
3,638,17
9,54,17
1,5,3
2,33,3
3,722,3
9,38,3
1,605,17
2,142,17
3,37,17
6,10,17
8,4,17
0,41,15
1,743,15
4,12,15
6,3,15
0,4,14
4,766,14
6,28,14
1,85,10
2,28,10
5,14,10
6,437,10
7,8,10
8,1,10
9,224,10
2,73,9
6,48,9
7,3,9
9,673,9
0,28,12
2,2,12
6,612,12
7,5,12
8,108,12
9,41,12
3,77,0
5,2,0
6,408,0
8,292,0
9,17,0
2,5,4
5,460,4
6,80,4
9,253,4
0,72,7
1,4,7
2,4,7
3,1,7
6,571,7
7,145,7
1,8,6
3,2,6
6,344,6
7,272,6
9,172,6
0,24,8
1,1,8
2,38,8
3,56,8
5,136,8
6,348,8
7,6,8
9,188,8
0,149,19
2,70,19
5,562,19
6,15,19
9,2,19
2,38,16
6,1,16
7,549,16
8,210,16
0,80,13
3,18,13
4,479,13
5,3,13
6,218,13
0,118,2
1,1,2
2,75,2
3,8,2
5,4,2
6,587,2
7,1,2
8,3,2
1,68,11
2,4,11
3,6,11
4,43,11
5,3,11
6,4,11
7,4,11
8,666,11
3,798,3
0,7,1
7,776,1
9,16,1
0,1,5
3,123,5
4,9,5
7,60,5
9,604,5
1,502,18
4,93,18
5,172,18
6,14,18
8,16,18
0,12,16
2,110,16
4,40,16
5,4,16
6,256,16
7,372,16
8,4,16
1,23,6
3,132,6
5,609,6
6,35,6
3,140,10
4,352,10
5,284,10
6,11,10
9,11,10
5,35,9
7,734,9
8,20,9
9,9,9
1,364,17
2,27,17
5,378,17
9,28,17
0,15,2
1,99,2
5,368,2
7,206,2
9,111,2
1,8,7
2,1,7
4,1,7
5,190,7
9,598,7
0,735,13
1,7,13
3,12,13
6,37,13
7,2,13
8,5,13
2,29,15
3,298,15
6,468,15
9,4,15
7,225,5
8,564,5
9,8,5
0,1,14
1,673,14
3,1,14
4,3,14
6,112,14
8,6,14
0,1,1
2,348,1
5,119,1
6,240,1
7,28,1
8,26,1
9,36,1
0,68,4
2,40,4
3,624,4
6,64,4
8,1,4
1,640,19
6,158,19
1,349,3
5,431,3
9,19,3
