0,6,12
3,272,12
4,3,12
5,288,12
6,1,12
7,228,12
3,77,11
5,116,11
7,474,11
8,4,11
9,125,11
2,29,19
4,441,19
7,327,19
0,740,12
7,6,12
9,52,12
0,30,17
2,462,17
3,106,17
5,2,17
6,21,17
8,6,17
9,170,17
0,512,3
1,56,3
2,2,3
3,3,3
5,64,3
6,35,3
7,83,3
8,29,3
9,12,3
2,4,2
3,545,2
4,6,2
7,242,2
0,56,15
1,121,15
2,18,15
5,539,15
6,58,15
9,5,15
0,75,7
1,92,7
3,632,7
3,4,10
6,674,10
9,120,10
0,742,0
3,2,0
4,49,0
8,2,0
9,3,0
5,2,13
6,797,13
0,96,6
1,22,6
4,22,6
8,132,6
9,527,6
2,32,18
3,215,18
5,8,18
8,329,18
9,214,18
1,191,9
2,13,9
3,300,9
9,293,9
0,54,1
6,149,1
7,390,1
8,204,1
2,78,4
3,6,4
5,286,4
6,192,4
7,22,4
8,211,4
9,2,4
5,118,8
7,559,8
8,122,8
1,5,5
2,72,5
4,76,5
5,100,5
6,358,5
8,186,5
0,25,16
1,4,16
2,119,16
4,511,16
7,140,16
1,6,14
3,13,14
5,272,14
7,76,14
8,431,14
1,768,9
8,31,9
2,10,16
3,480,16
4,176,16
6,93,16
7,14,16
8,14,16
9,11,16
0,336,12
4,102,12
6,357,12
9,3,12
0,225,8
2,512,8
3,11,8
4,4,8
6,4,8
7,41,8
1,123,3
3,16,3
5,4,3
6,420,3
7,105,3
8,128,3
1,224,4
2,1,4
3,34,4
4,245,4
5,242,4
6,20,4
9,31,4
5,497,1
7,266,1
8,35,1
4,171,15
7,578,15
8,3,15
9,47,15
0,15,13
2,1,13
3,460,13
5,20,13
8,300,13
0,38,11
1,276,11
4,193,11
6,47,11
9,244,11
0,28,19
1,10,19
2,228,19
4,52,19
7,11,19
8,467,19
0,1,7
1,750,7
2,14,7
3,9,7
6,3,7
9,20,7
0,60,2
2,496,2
5,15,2
8,227,2
0,238,0
3,12,0
4,20,0
5,4,0
7,356,0
9,167,0
1,17,17
4,528,17
5,95,17
6,24,17
7,132,17
0,21,14
1,28,14
3,8,14
7,411,14
8,309,14
9,20,14
0,176,6
2,1,6
6,254,6
8,144,6
9,224,6
0,52,18
3,19,18
7,112,18
8,615,18
9,1,18
1,46,10
3,8,10
4,197,10
7,371,10
8,176,10
0,612,5
1,165,5
4,4,5
7,17,5
0,19,17
1,204,17
6,315,17
7,5,17
9,254,17
0,52,9
1,145,9
4,56,9
6,10,9
8,536,9
2,1,1
4,413,1
5,380,1
8,3,1
1,52,7
3,243,7
4,288,7
6,1,7
7,182,7
8,32,7
1,9,15
3,1,15
5,637,15
7,8,15
8,3,15
9,140,15
2,577,12
3,3,12
5,3,12
7,215,12
3,15,19
5,784,19
0,5,14
1,33,14
3,24,14
6,395,14
7,266,14
8,1,14
9,72,14
0,228,0
3,13,0
