0,2,4
2,94,4
5,145,4
6,513,4
8,44,4
1,577,18
5,100,18
6,53,18
7,1,18
8,67,18
0,35,19
5,546,19
7,187,19
8,25,19
9,5,19
0,1,4
1,244,4
2,28,4
3,68,4
4,271,4
6,186,4
1,4,0
2,402,0
3,36,0
4,2,0
5,353,0
1,106,14
2,499,14
7,8,14
9,184,14
1,151,5
2,38,5
3,431,5
4,11,5
5,128,5
8,4,5
9,36,5
1,4,13
2,13,13
7,776,13
9,5,13
0,12,1
2,4,1
8,12,1
9,770,1
0,658,9
7,136,9
8,3,9
1,4,8
2,20,8
3,31,8
5,95,8
6,8,8
7,68,8
8,214,8
9,359,8
0,435,12
3,80,12
4,244,12
5,16,12
8,22,12
3,24,15
4,17,15
5,627,15
6,1,15
7,128,15
3,15,10
4,272,10
6,349,10
9,161,10
2,8,3
4,18,3
6,460,3
7,246,3
8,30,3
9,36,3
0,789,6
1,3,6
8,7,6
0,16,7
1,28,7
8,68,7
9,684,7
1,4,16
4,7,16
7,178,16
8,608,16
0,668,2
1,16,2
4,56,2
6,53,2
8,4,2
5,6,17
6,93,17
7,51,17
8,648,17
0,206,11
3,2,11
5,591,11
4,341,7
5,292,7
6,22,7
7,142,7
4,97,9
5,255,9
6,447,9
0,120,18
1,7,18
3,101,18
4,82,18
6,479,18
9,9,18
0,1,16
3,583,16
4,12,16
6,108,16
7,70,16
8,24,16
2,17,6
4,4,6
6,756,6
7,7,6
9,15,6
0,347,10
3,11,10
7,406,10
9,35,10
3,434,5
5,178,5
6,186,5
0,129,12
6,222,12
8,220,12
9,227,12
3,707,14
5,4,14
6,10,14
9,76,14
2,572,15
4,28,15
5,31,15
6,148,15
8,20,15
2,534,13
3,128,13
5,18,13
6,76,13
7,38,13
9,3,13
0,11,3
3,25,3
4,176,3
5,1,3
9,584,3
0,235,19
1,20,19
2,11,19
4,4,19
8,493,19
9,35,19
0,4,1
3,5,1
4,13,1
6,524,1
7,83,1
9,169,1
0,91,0
1,223,0
3,29,0
5,453,0
7,2,0
1,24,11
2,15,11
4,435,11
6,200,11
7,116,11
9,8,11
1,762,17
4,33,17
5,1,17
8,1,17
0,64,4
3,356,4
5,8,4
6,371,4
1,201,2
5,91,2
8,505,2
0,2,8
1,110,8
5,69,8
7,614,8
8,2,8
0,779,13
3,18,13
5,2,13
1,788,16
9,11,16
1,10,18
4,17,18
5,17,18
7,656,18
9,97,18
3,10,11
4,4,11
6,230,11
7,168,11
8,44,11
9,341,11
3,4,2
4,3,2
7,743,2
8,40,2
9,8,2
2,591,6
5,137,6
8,69,6
9,1,6
0,272,10
1,128,10
3,165,10
4,2,10
5,164,10
6,56,10
9,10,10
0,16,7
3,329,7
5,292,7
6,106,7
8,55,7
0,18,14
1,517,14
3,33,14
4,10,14
7,176,14
9,43,14
0,203,1
2,21,1
3,63,1
4,16,1
5,2,1
6,51,1
7,261,1
8,171,1
9,8,1
1,24,3
2,10,3
3,4,3
5,278,3
7,100,3
9,383,3
2,19,19
3,1,19
8,3,19
9,776,19
3,71,15
5,314,15
6,119,15
7,137,15
8,144,15
9,12,15
0,665,8
2,1,8
3,17,8
5,86,8
7,4,8
8,24,8
1,109,17
3,172,17
6,88,17
9,428,17
0,8,0
3,3,0
4,5,0
6,576,0
7,206,0
0,790,9
3,4,9
4,2,9
6,3,9
1,207,12
4,89,12
5,277,12
8,3,12
9,221,12
0,119,4
2,655,4
3,10,4
5,14,4
0,8,5
2,317,5
6,474,5
0,172,13
1,5,13
3,9,13
5,8,13
6,2,13
7,58,13
8,21,13
9,521,13
3,618,0
5,140,0
8,36,0
9,4,0
3,700,5
6,20,5
7,48,5
9,31,5
0,131,19
1,12,19
3,13,19
6,24,19
7,62,19
8,538,19
9,17,19
0,1,3
3,7,3
5,32,3
8,758,3
0,1,7
1,144,7
2,169,7
4,454,7
8,29,7
1,20,4
2,732,4
5,40,4
6,5,4
2,436,18
4,71,18
5,277,18
6,15,18
0,2,11
2,465,11
3,328,11
7,4,11
0,14,9
3,30,9
4,462,9
5,78,9
6,213,9
0,8,17
8,732,17
9,57,17
1,60,14
3,48,14
8,662,14
9,29,14
0,4,1
2,32,1
3,22,1
4,11,1
6,193,1
7,20,1
8,485,1
9,29,1
4,60,16
7,320,16
8,1,16
9,417,16
3,420,2
4,23,2
5,8,2
8,324,2
9,24,2
1,264,6
2,58,6
3,9,6
5,95,6
6,197,6
8,40,6
9,134,6
1,18,12
4,166,12
5,348,12
6,172,12
7,12,12
9,82,12
1,126,15
3,7,15
4,620,15
7,38,15
8,4,15
9,2,15
0,84,10
3,460,10
5,188,10
6,66,10
0,67,8
4,85,8
5,3,8
8,644,8
0,74,6
2,163,6
3,14,6
4,396,6
7,127,6
8,22,6
9,1,6
2,12,13
3,260,13
4,521,13
6,1,13
8,4,13
5,168,2
6,160,2
7,443,2
9,28,2
0,66,18
1,356,18
2,3,18
4,27,18
7,339,18
9,8,18
0,6,12
2,381,12
3,95,12
4,257,12
5,18,12
6,25,12
9,15,12
1,26,9
2,12,9
3,362,9
5,2,9
7,21,9
8,321,9
9,52,9
1,94,19
2,207,19
3,4,19
4,247,19
5,236,19
9,11,19
3,780,15
4,15,15
6,4,15
3,549,14
7,73,14
8,176,14
1,392,8
2,78,8
3,237,8
4,3,8
5,88,8
1,448,5
2,315,5
7,2,5
8,27,5
9,6,5
0,769,3
7,15,3
9,15,3
0,32,16
2,2,16
3,328,16
4,1,16
8,106,16
9,328,16
0,141,0
1,498,0
4,11,0
6,148,0
1,1,4
3,2,4
4,620,4
5,76,4
6,98,4
9,1,4
3,24,11
6,183,11
8,30,11
9,560,11
0,4,7
3,776,7
4,5,7
7,12,7
0,93,10
1,2,10
2,64,10
3,596,10
5,20,10
8,9,10
9,12,10
0,32,17
2,48,17
6,716,17
8,2,17
0,246,1
6,528,1
7,16,1
8,8,1
1,23,2
2,21,2
3,694,2
7,23,2
9,36,2
2,96,11
3,40,11
5,13,11
6,2,11
8,647,11
0,115,12
1,150,12
2,56,12
6,96,12
7,295,12
8,5,12
9,80,12
0,1,5
1,452,5
3,56,5
4,2,5
7,253,5
9,32,5
0,56,1
1,12,1
2,121,1
3,28,1
5,2,1
6,571,1
7,7,1
1,4,17
2,472,17
3,20,17
4,19,17
7,86,17
9,196,17
1,439,6
2,169,6
4,148,6
8,1,6
9,40,6
1,26,13
2,53,13
4,16,13
5,613,13
7,38,13
9,50,13
0,5,0
1,521,0
2,258,0
5,4,0
6,9,0
7,788,8
8,11,8
2,17,7
5,42,7
6,6,7
8,232,7
9,500,7
0,48,9
3,541,9
5,195,9
7,8,9
9,5,9
2,4,18
3,157,18
4,495,18
5,104,18
9,38,18
