0,8,16
1,28,16
2,94,16
3,334,16
4,23,16
5,93,16
6,86,16
7,17,16
8,112,16
1,43,13
3,69,13
4,307,13
5,364,13
7,1,13
8,9,13
9,2,13
0,110,3
1,24,3
2,48,3
3,121,3
4,72,3
5,6,3
6,19,3
7,368,3
8,9,3
9,19,3
1,28,16
2,43,16
3,253,16
4,227,16
5,23,16
6,154,16
7,16,16
8,28,16
9,24,16
0,92,14
1,200,14
2,42,14
4,80,14
5,295,14
6,12,14
7,45,14
8,5,14
9,25,14
0,208,19
1,35,19
2,127,19
3,109,19
4,8,19
5,32,19
6,172,19
7,51,19
8,21,19
9,34,19
0,9,9
1,57,9
2,8,9
3,68,9
4,30,9
5,93,9
7,6,9
8,259,9
9,266,9
0,91,18
2,146,18
3,61,18
4,34,18
5,30,18
6,358,18
7,55,18
9,22,18
0,118,5
1,1,5
2,53,5
3,163,5
4,27,5
5,9,5
6,15,5
7,219,5
8,52,5
9,139,5
1,149,12
2,1,12
3,12,12
4,80,12
5,140,12
6,80,12
7,1,12
8,230,12
9,104,12
0,145,0
1,231,0
3,56,0
4,266,0
5,17,0
6,3,0
8,4,0
9,73,0
1,7,17
2,29,17
3,84,17
5,40,17
6,545,17
7,77,17
9,15,17
0,28,1
1,52,1
2,68,1
3,18,1
4,25,1
5,125,1
6,7,1
7,126,1
8,196,1
9,151,1
0,84,7
1,42,7
2,4,7
3,176,7
4,93,7
5,209,7
6,176,7
7,4,7
8,3,7
9,4,7
0,110,2
1,68,2
2,111,2
3,15,2
4,10,2
5,19,2
6,448,2
7,14,2
9,3,2
0,282,15
2,88,15
3,20,15
4,207,15
5,11,15
6,3,15
7,154,15
8,18,15
9,13,15
0,88,10
1,460,10
2,9,10
4,1,10
5,43,10
6,158,10
7,9,10
8,19,10
9,10,10
0,68,11
1,105,11
2,93,11
4,85,11
5,20,11
6,41,11
7,46,11
8,45,11
9,291,11
0,257,4
1,228,4
2,20,4
3,32,4
5,12,4
6,69,4
7,16,4
8,101,4
9,60,4
0,106,6
1,10,6
2,6,6
3,48,6
4,299,6
5,6,6
6,3,6
7,112,6
8,34,6
9,172,6
0,41,8
2,5,8
3,89,8
4,2,8
5,29,8
6,491,8
7,120,8
8,16,8
9,1,8
1,10,1
2,24,1
3,276,1
4,7,1
5,23,1
6,112,1
7,271,1
8,57,1
9,17,1
0,40,16
1,11,16
2,69,16
3,222,16
4,102,16
5,8,16
6,1,16
8,224,16
9,118,16
0,74,7
1,215,7
2,24,7
3,211,7
4,5,7
5,56,7
6,66,7
7,65,7
8,15,7
9,66,7
1,68,6
3,45,6
4,106,6
5,99,6
6,115,6
7,151,6
8,144,6
9,68,6
0,113,17
1,1,17
2,64,17
3,112,17
4,4,17
5,21,17
6,16,17
7,404,17
8,16,17
9,45,17
0,1,5
1,67,5
2,56,5
3,233,5
4,141,5
5,55,5
7,12,5
8,4,5
9,228,5
0,57,13
1,12,13
2,113,13
3,2,13
4,236,13
5,59,13
7,255,13
8,32,13
9,32,13
0,96,8
3,27,8
4,116,8
5,52,8
6,325,8
7,21,8
8,4,8
9,154,8
0,124,0
1,60,0
2,36,0
3,100,0
4,56,0
5,11,0
6,94,0
7,51,0
8,263,0
9,1,0
0,60,9
1,164,9
2,211,9
3,34,9
4,3,9
6,4,9
7,25,9
8,148,9
9,147,9
0,4,14
1,24,14
2,2,14
3,25,14
4,2,14
5,30,14
6,125,14
7,17,14
8,218,14
9,348,14
0,196,2
1,153,2
2,2,2
3,42,2
4,38,2
5,97,2
6,14,2
7,11,2
8,105,2
9,137,2
0,64,18
1,118,18
2,125,18
3,20,18
4,3,18
5,12,18
6,123,18
7,25,18
8,132,18
9,174,18
0,219,15
1,238,15
3,13,15
4,7,15
6,87,15
7,184,15
8,16,15
9,32,15
0,11,4
1,8,4
2,234,4
3,368,4
4,92,4
5,7,4
6,21,4
7,5,4
8,4,4
9,46,4
0,40,10
1,24,10
2,428,10
3,5,10
4,52,10
5,44,10
7,167,10
8,37,10
0,20,12
1,33,12
3,272,12
4,8,12
5,17,12
6,212,12
7,215,12
8,12,12
9,6,12
0,74,11
1,14,11
2,2,11
3,2,11
4,26,11
5,367,11
6,196,11
7,14,11
8,38,11
9,63,11
0,3,19
1,159,19
2,19,19
3,1,19
4,268,19
5,31,19
6,175,19
7,5,19
8,4,19
9,132,19
0,44,3
1,66,3
2,233,3
3,22,3
4,3,3
5,36,3
6,41,3
7,231,3
8,40,3
9,80,3
0,60,9
1,4,9
3,88,9
4,4,9
5,113,9
6,173,9
7,151,9
8,199,9
9,3,9
0,449,17
1,28,17
2,154,17
3,16,17
4,11,17
5,4,17
6,18,17
7,12,17
8,16,17
9,87,17
0,249,10
1,15,10
2,130,10
4,3,10
5,148,10
6,20,10
7,86,10
8,64,10
9,80,10
0,71,15
1,215,15
2,84,15
3,176,15
4,3,15
5,4,15
6,112,15
7,27,15
8,68,15
9,36,15
0,30,13
1,185,13
2,210,13
3,8,13
5,52,13
6,1,13
7,251,13
8,40,13
9,20,13
0,33,4
1,47,4
2,62,4
3,36,4
5,16,4
6,52,4
7,21,4
8,522,4
9,6,4
0,3,1
1,25,1
2,3,1
3,242,1
4,36,1
5,146,1
6,31,1
7,190,1
8,101,1
9,20,1
0,40,11
1,15,11
2,1,11
3,155,11
4,12,11
6,156,11
7,9,11
8,274,11
9,133,11
0,417,6
1,12,6
2,26,6
3,56,6
4,32,6
5,100,6
6,70,6
7,6,6
8,1,6
9,76,6
0,60,7
1,62,7
2,80,7
3,42,7
4,135,7
5,76,7
6,2,7
7,209,7
8,112,7
9,18,7
0,8,3
1,8,3
2,76,3
4,215,3
5,41,3
6,116,3
7,177,3
8,79,3
9,76,3
0,12,5
1,248,5
2,78,5
3,183,5
4,28,5
5,3,5
6,9,5
7,31,5
8,33,5
9,171,5
0,23,12
1,61,12
2,23,12
3,92,12
4,28,12
5,157,12
6,337,12
7,2,12
8,3,12
9,71,12
1,62,0
2,76,0
3,35,0
4,6,0
5,228,0
6,240,0
7,112,0
8,1,0
9,36,0
0,164,2
1,211,2
2,37,2
3,33,2
4,158,2
5,56,2
7,104,2
8,30,2
9,3,2
0,11,8
1,32,8
2,2,8
3,4,8
4,16,8
5,109,8
6,54,8
7,537,8
8,3,8
9,28,8
0,25,19
1,9,19
2,10,19
3,224,19
4,128,19
5,302,19
7,48,19
8,48,19
9,2,19
0,4,16
1,60,16
2,280,16
3,32,16
4,82,16
5,20,16
6,81,16
7,27,16
8,208,16
0,78,18
1,36,18
2,3,18
3,350,18
4,60,18
5,45,18
6,36,18
8,189,18
0,316,14
1,7,14
2,115,14
3,18,14
4,54,14
5,8,14
6,1,14
7,1,14
8,172,14
9,103,14
0,303,14
1,12,14
3,28,14
4,233,14
5,5,14
6,81,14
7,133,14
9,1,14
0,5,16
1,8,16
2,35,16
3,143,16
4,158,16
5,224,16
6,55,16
7,3,16
8,145,16
9,20,16
0,80,6
1,353,6
2,5,6
3,26,6
4,302,6
6,12,6
8,12,6
9,5,6
0,349,4
2,58,4
3,66,4
4,81,4
5,73,4
6,7,4
7,14,4
8,18,4
9,130,4
0,8,13
1,96,13
2,4,13
3,373,13
4,15,13
6,56,13
7,88,13
8,61,13
9,94,13
0,232,0
2,43,0
3,14,0
4,131,0
5,239,0
6,118,0
7,3,0
9,18,0
0,174,12
1,280,12
2,36,12
3,56,12
4,18,12
5,126,12
6,26,12
7,9,12
8,40,12
9,30,12
0,8,5
1,233,5
2,37,5
3,62,5
6,350,5
7,20,5
8,39,5
9,48,5
0,48,1
1,32,1
2,181,1
3,98,1
5,320,1
7,12,1
8,61,1
9,44,1
0,24,3
1,71,3
2,52,3
3,184,3
4,154,3
6,81,3
7,61,3
8,1,3
9,168,3
0,192,7
1,12,7
2,32,7
3,20,7
4,148,7
6,76,7
7,180,7
8,49,7
9,86,7
0,7,9
1,20,9
2,8,9
3,99,9
4,199,9
5,39,9
6,97,9
7,2,9
8,247,9
9,80,9
0,7,17
1,232,17
2,202,17
3,37,17
4,23,17
5,128,17
6,44,17
7,3,17
8,76,17
9,45,17
0,144,15
2,15,15
3,140,15
5,6,15
6,248,15
7,12,15
8,170,15
9,62,15
0,136,2
1,34,2
2,152,2
3,2,2
4,44,2
5,164,2
6,132,2
7,66,2
8,64,2
9,3,2
0,9,10
1,52,10
2,42,10
3,418,10
4,7,10
5,147,10
6,47,10
7,6,10
9,69,10
0,5,18
1,16,18
2,48,18
3,11,18
4,233,18
5,216,18
6,16,18
7,56,18
8,9,18
9,186,18
0,81,19
1,37,19
2,153,19
3,39,19
4,24,19
5,32,19
6,15,19
7,249,19
8,167,19
0,24,11
2,23,11
3,119,11
4,74,11
5,151,11
7,180,11
8,225,11
9,1,11
0,471,8
1,20,8
2,11,8
4,20,8
5,4,8
6,235,8
7,36,8
8,1,8
0,343,5
1,3,5
2,160,5
3,40,5
4,64,5
5,35,5
6,22,5
7,71,5
8,46,5
9,12,5
1,4,9
2,68,9
3,46,9
4,243,9
5,212,9
6,77,9
7,64,9
9,81,9
0,136,19
1,8,19
2,9,19
3,126,19
4,8,19
5,8,19
6,4,19
7,19,19
8,272,19
9,206,19
0,228,15
1,93,15
3,12,15
4,106,15
5,84,15
6,129,15
7,72,15
9,72,15
0,42,18
1,17,18
2,85,18
3,92,18
4,171,18
5,8,18
6,61,18
7,8,18
8,140,18
9,172,18
0,67,4
1,76,4
2,36,4
3,148,4
4,196,4
6,209,4
7,20,4
8,26,4
9,19,4
0,20,8
1,1,8
2,237,8
3,50,8
5,97,8
6,256,8
7,22,8
9,112,8
0,16,3
2,37,3
3,6,3
4,458,3
5,3,3
6,56,3
7,83,3
8,126,3
9,12,3
0,100,17
1,3,17
2,84,17
3,286,17
4,8,17
5,79,17
6,89,17
7,65,17
8,37,17
9,44,17
0,80,7
1,1,7
2,345,7
3,175,7
4,28,7
5,7,7
6,25,7
7,12,7
8,73,7
9,49,7
0,325,0
1,180,0
2,51,0
3,67,0
4,23,0
5,14,0
6,25,0
7,12,0
8,2,0
9,98,0
0,176,13
1,78,13
2,16,13
3,125,13
4,47,13
5,120,13
6,33,13
8,28,13
9,174,13
0,5,1
1,204,1
2,39,1
3,130,1
4,96,1
5,200,1
6,23,1
7,75,1
8,7,1
9,18,1
0,23,2
1,8,2
2,94,2
3,250,2
4,2,2
5,65,2
6,260,2
7,63,2
8,24,2
9,8,2
0,37,10
1,276,10
2,247,10
3,1,10
4,92,10
5,9,10
6,18,10
8,6,10
9,110,10
0,114,6
1,29,6
2,8,6
3,23,6
4,150,6
5,32,6
6,378,6
7,2,6
8,50,6
9,11,6
0,85,14
1,15,14
2,22,14
3,14,14
4,3,14
5,89,14
6,152,14
7,336,14
8,66,14
9,13,14
0,9,11
1,30,11
2,304,11
3,146,11
4,20,11
5,83,11
6,34,11
7,76,11
8,79,11
9,16,11
0,16,16
1,14,16
2,72,16
3,591,16
4,27,16
5,19,16
6,2,16
7,48,16
8,1,16
9,6,16
0,53,12
1,162,12
2,23,12
3,6,12
4,39,12
5,64,12
6,247,12
7,154,12
8,5,12
9,43,12
0,135,13
2,46,13
4,164,13
5,4,13
6,24,13
7,32,13
8,60,13
9,332,13
0,29,16
1,44,16
2,68,16
3,208,16
4,57,16
6,55,16
7,104,16
8,159,16
9,73,16
0,116,14
1,47,14
2,13,14
3,2,14
4,106,14
5,58,14
6,73,14
7,237,14
8,3,14
9,141,14
0,96,15
2,67,15
3,305,15
4,5,15
5,44,15
6,156,15
8,123,15
0,252,3
1,31,3
2,104,3
3,23,3
4,145,3
5,6,3
7,80,3
8,10,3
9,145,3
0,34,18
1,81,18
2,386,18
3,2,18
4,6,18
5,5,18
6,30,18
8,53,18
9,199,18
0,145,4
1,85,4
3,8,4
4,14,4
5,228,4
6,9,4
7,228,4
8,74,4
9,4,4
0,467,0
1,36,0
2,63,0
3,1,0
4,72,0
5,3,0
6,20,0
7,90,0
8,36,0
9,8,0
0,213,12
1,4,12
3,5,12
4,263,12
5,34,12
6,236,12
7,18,12
8,23,12
0,25,6
1,25,6
2,125,6
3,110,6
4,286,6
5,136,6
6,1,6
7,71,6
8,11,6
9,5,6
0,2,19
1,80,19
2,80,19
3,131,19
4,47,19
5,214,19
6,166,19
8,38,19
9,37,19
0,38,10
2,20,10
5,14,10
6,119,10
7,176,10
9,430,10
0,2,1
1,97,1
2,5,1
3,221,1
4,4,1
5,36,1
6,14,1
7,241,1
8,165,1
9,9,1
0,344,7
1,4,7
2,48,7
3,153,7
4,70,7
5,36,7
6,2,7
7,47,7
8,88,7
9,2,7
0,87,8
2,76,8
4,25,8
5,54,8
6,72,8
7,41,8
8,40,8
9,402,8
0,52,9
1,29,9
2,68,9
3,12,9
4,534,9
5,5,9
6,61,9
7,10,9
8,19,9
9,5,9
0,213,2
1,26,2
2,204,2
3,65,2
4,28,2
6,2,2
7,2,2
8,169,2
9,87,2
1,44,17
2,18,17
3,71,17
5,444,17
7,61,17
8,39,17
9,119,17
0,68,5
1,8,5
2,243,5
3,300,5
4,56,5
5,2,5
6,3,5
8,112,5
9,4,5
0,34,11
1,40,11
2,31,11
3,15,11
4,158,11
5,46,11
6,137,11
7,113,11
8,220,11
9,1,11
0,30,9
1,100,9
2,16,9
3,84,9
4,237,9
5,156,9
6,108,9
7,14,9
8,46,9
9,6,9
0,4,7
1,8,7
2,13,7
3,394,7
4,94,7
6,92,7
7,3,7
8,33,7
9,154,7
0,12,1
1,69,1
2,87,1
3,16,1
5,85,1
6,357,1
7,25,1
8,5,1
9,140,1
0,84,2
3,31,2
4,152,2
5,330,2
6,6,2
7,57,2
8,115,2
9,20,2
0,8,16
1,198,16
2,70,16
3,156,16
4,100,16
5,73,16
6,119,16
7,22,16
9,52,16
1,16,13
3,175,13
4,120,13
5,337,13
6,11,13
7,46,13
8,3,13
9,88,13
2,4,3
3,7,3
4,2,3
5,13,3
6,70,3
7,466,3
8,218,3
9,16,3
0,410,15
2,57,15
3,1,15
4,24,15
5,66,15
6,87,15
7,66,15
8,4,15
9,81,15
0,183,0
1,14,0
2,5,0
3,209,0
5,213,0
6,32,0
7,14,0
8,111,0
9,14,0
0,80,19
1,156,19
3,33,19
4,72,19
5,53,19
6,7,19
7,15,19
8,340,19
9,39,19
0,9,8
1,57,8
2,120,8
3,10,8
4,204,8
5,32,8
6,70,8
7,176,8
8,12,8
9,106,8
0,8,14
1,171,14
2,11,14
3,214,14
4,19,14
5,192,14
6,85,14
7,48,14
8,20,14
9,28,14
0,195,6
1,34,6
2,52,6
3,40,6
4,21,6
5,352,6
6,14,6
7,27,6
8,57,6
9,4,6
0,10,11
1,16,11
2,133,11
3,43,11
4,12,11
5,285,11
6,37,11
9,260,11
0,39,17
1,4,17
2,12,17
3,151,17
4,68,17
5,10,17
6,20,17
7,244,17
8,228,17
9,20,17
0,406,18
2,1,18
3,55,18
4,204,18
