0,67,8
1,95,8
2,61,8
3,47,8
4,145,8
5,112,8
6,52,8
7,32,8
8,138,8
9,48,8
0,119,17
1,68,17
2,86,17
3,151,17
4,95,17
5,30,17
6,52,17
7,109,17
8,47,17
9,40,17
0,91,1
1,52,1
2,110,1
3,66,1
4,82,1
5,72,1
6,96,1
7,80,1
8,70,1
9,78,1
0,71,18
1,54,18
2,172,18
3,42,18
4,88,18
5,80,18
6,96,18
7,65,18
8,100,18
9,28,18
0,97,7
1,102,7
2,46,7
3,151,7
4,40,7
5,58,7
6,50,7
7,78,7
8,81,7
9,92,7
0,51,12
1,31,12
2,69,12
3,48,12
4,135,12
5,80,12
6,100,12
7,140,12
8,94,12
9,48,12
0,17,11
1,140,11
2,95,11
3,90,11
4,155,11
5,95,11
6,31,11
7,69,11
8,68,11
9,36,11
0,68,6
1,47,6
2,120,6
3,85,6
4,41,6
5,111,6
6,50,6
7,40,6
8,131,6
9,104,6
0,91,19
1,92,19
2,27,19
3,104,19
4,60,19
5,60,19
6,36,19
7,118,19
8,132,19
9,76,19
0,44,2
1,37,2
2,51,2
3,168,2
4,86,2
5,135,2
6,30,2
7,32,2
8,95,2
9,119,2
0,126,0
1,111,0
2,91,0
3,51,0
4,28,0
5,101,0
6,84,0
7,64,0
8,30,0
9,110,0
0,35,16
1,158,16
2,39,16
3,94,16
4,49,16
5,80,16
6,97,16
7,108,16
8,85,16
9,51,16
0,38,15
1,84,15
2,68,15
3,94,15
4,49,15
5,82,15
6,120,15
7,88,15
8,71,15
9,101,15
0,98,9
1,38,9
2,107,9
3,127,9
4,56,9
5,52,9
6,65,9
7,69,9
8,99,9
9,84,9
0,105,10
1,85,10
2,76,10
3,108,10
4,92,10
5,84,10
6,20,10
7,67,10
8,90,10
9,70,10
0,70,3
1,120,3
2,85,3
3,69,3
4,53,3
5,93,3
6,68,3
7,65,3
8,101,3
9,71,3
0,85,13
1,115,13
2,70,13
3,169,13
4,81,13
5,19,13
6,41,13
7,133,13
8,40,13
9,43,13
0,37,14
1,64,14
2,131,14
3,56,14
4,108,14
5,76,14
6,37,14
7,65,14
8,123,14
9,100,14
0,78,8
1,64,8
2,74,8
3,95,8
4,73,8
5,108,8
6,47,8
7,80,8
8,72,8
9,104,8
0,28,4
1,168,4
2,31,4
3,98,4
4,67,4
5,118,4
6,16,4
7,124,4
8,64,4
9,84,4
0,132,5
1,54,5
2,94,5
3,73,5
4,64,5
5,62,5
6,152,5
7,54,5
8,32,5
9,79,5
0,127,6
1,52,6
2,93,6
3,101,6
4,49,6
5,104,6
6,40,6
7,68,6
8,86,6
9,76,6
0,71,0
1,91,0
2,61,0
3,72,0
4,83,0
5,60,0
6,64,0
7,144,0
8,28,0
9,121,0
0,109,16
1,64,16
2,91,16
3,81,16
4,111,16
5,26,16
6,108,16
7,60,16
8,88,16
9,58,16
0,80,12
1,92,12
2,85,12
3,67,12
4,32,12
5,55,12
6,92,12
7,139,12
8,29,12
9,126,12
0,70,5
1,40,5
2,94,5
3,80,5
4,59,5
5,72,5
6,118,5
7,60,5
8,75,5
9,128,5
0,103,10
1,53,10
2,81,10
3,44,10
4,96,10
5,56,10
6,85,10
7,44,10
8,152,10
9,83,10
0,49,1
1,96,1
2,61,1
3,57,1
4,166,1
5,82,1
6,85,1
7,24,1
8,120,1
9,54,1
0,63,7
1,227,7
2,84,7
3,112,7
4,44,7
5,74,7
6,64,7
7,55,7
8,47,7
