0,6,12
1,94,12
2,7,12
3,53,12
4,61,12
5,23,12
6,70,12
7,23,12
8,28,12
9,431,12
0,20,5
1,3,5
5,116,5
6,136,5
7,484,5
8,26,5
9,11,5
0,49,12
1,8,12
2,143,12
3,8,12
4,18,12
5,361,12
7,37,12
8,168,12
9,4,12
0,29,1
1,3,1
2,1,1
4,4,1
5,300,1
6,33,1
7,19,1
8,357,1
9,48,1
0,17,14
1,54,14
2,4,14
3,254,14
4,6,14
5,8,14
6,6,14
7,64,14
8,343,14
9,40,14
1,46,3
2,9,3
3,9,3
4,496,3
5,1,3
6,26,3
7,146,3
8,26,3
9,36,3
0,16,10
1,37,10
3,123,10
4,168,10
5,1,10
6,428,10
8,24,10
0,285,0
1,6,0
2,48,0
4,20,0
5,128,0
6,135,0
7,32,0
8,32,0
9,111,0
1,36,13
2,61,13
3,346,13
4,6,13
5,49,13
7,24,13
8,4,13
9,269,13
0,24,2
1,100,2
2,158,2
3,112,2
4,40,2
5,35,2
6,149,2
7,6,2
8,95,2
9,78,2
0,20,17
1,82,17
2,368,17
3,46,17
4,7,17
6,16,17
7,8,17
8,123,17
9,126,17
0,73,19
1,299,19
2,80,19
3,35,19
5,99,19
6,28,19
7,102,19
8,80,19
0,62,6
1,12,6
3,16,6
4,464,6
5,26,6
6,5,6
8,37,6
9,172,6
0,124,7
1,5,7
2,5,7
3,484,7
4,44,7
5,3,7
6,76,7
7,4,7
8,5,7
9,47,7
0,119,11
1,23,11
2,24,11
3,171,11
4,1,11
5,71,11
7,206,11
8,96,11
9,87,11
0,72,18
1,93,18
2,84,18
3,71,18
5,368,18
6,35,18
7,4,18
8,2,18
9,68,18
0,40,4
1,68,4
2,5,4
3,379,4
4,86,4
5,40,4
6,156,4
7,19,4
8,2,4
9,3,4
0,222,9
1,102,9
3,17,9
4,80,9
5,9,9
6,1,9
7,320,9
9,45,9
0,188,8
1,102,8
2,9,8
3,104,8
4,132,8
5,98,8
6,45,8
7,7,8
8,3,8
9,109,8
0,23,16
1,158,16
2,112,16
3,40,16
4,267,16
5,108,16
6,12,16
7,45,16
8,7,16
9,24,16
0,1,15
1,32,15
3,90,15
4,30,15
5,12,15
6,28,15
7,16,15
8,193,15
9,392,15
0,8,14
1,97,14
2,184,14
3,296,14
4,51,14
5,11,14
6,4,14
7,100,14
8,23,14
9,21,14
1,8,17
2,1,17
3,56,17
4,76,17
5,100,17
6,7,17
7,3,17
8,358,17
9,188,17
0,31,19
1,74,19
2,4,19
3,89,19
4,245,19
6,42,19
7,299,19
8,13,19
0,8,11
2,94,11
3,66,11
5,376,11
6,7,11
7,61,11
8,184,11
0,97,9
1,7,9
2,31,9
3,9,9
4,63,9
5,489,9
6,25,9
7,70,9
9,5,9
0,22,16
1,124,16
2,139,16
3,32,16
4,3,16
5,220,16
6,54,16
7,15,16
8,78,16
9,109,16
0,215,12
1,111,12
2,13,12
3,7,12
4,138,12
5,249,12
6,15,12
7,19,12
8,4,12
9,26,12
0,205,13
1,3,13
2,45,13
3,92,13
4,145,13
5,40,13
7,95,13
8,135,13
9,36,13
0,81,0
1,23,0
2,42,0
4,13,0
5,5,0
6,28,0
7,302,0
8,158,0
9,144,0
0,62,2
1,153,2
3,52,2
4,32,2
5,72,2
6,102,2
7,148,2
8,1,2
9,174,2
0,4,5
1,191,5
2,1,5
3,6,5
4,85,5
5,67,5
6,201,5
7,113,5
8,45,5
9,83,5
1,111,1
2,4,1
3,72,1
4,276,1
5,132,1
6,99,1
7,3,1
8,95,1
9,4,1
0,78,8
2,76,8
3,57,8
4,8,8
5,39,8
6,17,8
7,118,8
8,8,8
9,395,8
0,2,15
1,91,15
2,5,15
3,246,15
6,216,15
7,235,15
9,3,15
0,50,7
1,141,7
2,4,7
4,92,7
5,422,7
6,41,7
7,4,7
9,43,7
0,4,10
1,48,10
2,6,10
3,16,10
4,111,10
5,4,10
6,115,10
7,88,10
8,51,10
9,354,10
0,56,6
1,21,6
2,4,6
4,212,6
6,114,6
8,4,6
9,385,6
0,2,3
1,225,3
2,274,3
3,20,3
4,108,3
5,92,3
6,9,3
7,3,3
8,1,3
9,63,3
0,257,4
1,80,4
2,136,4
3,5,4
4,31,4
6,84,4
7,127,4
8,4,4
9,72,4
0,56,18
1,399,18
2,44,18
3,32,18
5,6,18
6,55,18
7,8,18
8,7,18
9,191,18
0,259,11
2,60,11
3,110,11
5,106,11
6,178,11
7,27,11
8,24,11
9,32,11
1,31,15
2,90,15
3,343,15
4,32,15
5,138,15
6,77,15
7,24,15
8,55,15
9,7,15
0,117,17
1,48,17
2,228,17
3,32,17
4,228,17
5,122,17
6,3,17
7,14,17
8,4,17
0,252,13
1,8,13
2,228,13
3,6,13
4,97,13
5,19,13
6,36,13
7,32,13
8,120,13
0,143,6
1,327,6
3,10,6
4,24,6
5,49,6
6,25,6
8,27,6
9,192,6
0,224,8
2,68,8
3,1,8
4,68,8
7,75,8
8,54,8
9,307,8
0,60,16
3,32,16
4,301,16
5,29,16
6,82,16
7,179,16
8,89,16
9,24,16
0,35,2
1,77,2
2,101,2
3,10,2
4,197,2
5,13,2
6,92,2
7,9,2
9,261,2
0,257,0
1,8,0
2,26,0
3,29,0
4,17,0
5,221,0
6,2,0
7,2,0
8,56,0
9,177,0
0,173,1
1,36,1
2,27,1
3,80,1
4,2,1
5,18,1
6,68,1
7,159,1
8,182,1
9,52,1
0,70,12
1,49,12
2,55,12
3,136,12
4,106,12
5,21,12
6,218,12
7,18,12
9,123,12
1,51,5
2,3,5
3,192,5
4,62,5
5,188,5
7,2,5
8,300,5
0,167,19
1,2,19
2,48,19
3,1,19
4,4,19
5,230,19
6,20,19
7,144,19
8,2,19
9,177,19
0,26,9
1,33,9
2,107,9
3,130,9
4,156,9
5,5,9
8,336,9
9,4,9
0,97,3
1,23,3
2,59,3
3,44,3
4,269,3
5,116,3
6,53,3
9,136,3
0,92,14
1,29,14
2,40,14
3,66,14
4,200,14
5,28,14
6,190,14
7,44,14
8,105,14
9,2,14
0,23,4
2,46,4
3,284,4
4,150,4
5,65,4
6,4,4
7,66,4
8,151,4
9,7,4
0,6,10
2,588,10
3,15,10
4,39,10
5,2,10
6,52,10
7,9,10
8,31,10
9,54,10
0,26,18
1,14,18
2,37,18
3,313,18
4,16,18
6,88,18
7,237,18
8,27,18
9,38,18
1,31,7
2,8,7
3,15,7
4,64,7
5,1,7
6,381,7
7,56,7
8,108,7
9,132,7
0,7,7
1,287,7
2,60,7
3,49,7
5,9,7
6,145,7
7,3,7
8,2,7
9,234,7
0,1,18
2,14,18
3,3,18
4,8,18
5,13,18
6,15,18
7,202,18
8,151,18
9,389,18
0,188,11
1,236,11
2,36,11
3,104,11
4,60,11
5,32,11
7,20,11
8,119,11
9,1,11
0,191,9
1,74,9
2,16,9
3,37,9
4,58,9
5,45,9
6,24,9
7,33,9
8,307,9
9,11,9
0,125,8
1,5,8
2,2,8
3,1,8
4,36,8
5,58,8
6,20,8
7,464,8
9,85,8
0,12,17
2,89,17
3,160,17
4,32,17
5,49,17
6,127,17
7,226,17
8,18,17
9,84,17
0,1,4
1,79,4
2,8,4
3,332,4
4,8,4
5,139,4
7,6,4
8,220,4
9,3,4
0,216,1
1,115,1
2,74,1
3,22,1
4,2,1
5,320,1
6,4,1
7,7,1
8,8,1
9,28,1
0,65,13
1,18,13
2,47,13
3,1,13
5,201,13
6,13,13
7,316,13
8,2,13
9,133,13
0,90,3
1,4,3
2,6,3
3,8,3
4,100,3
5,73,3
6,72,3
7,263,3
8,104,3
9,76,3
0,12,6
1,104,6
2,17,6
3,4,6
5,8,6
6,8,6
7,420,6
9,223,6
0,12,2
1,41,2
2,9,2
3,291,2
4,103,2
6,8,2
7,302,2
8,25,2
9,5,2
0,4,5
1,186,5
2,61,5
4,275,5
5,68,5
6,124,5
7,63,5
8,9,5
9,6,5
0,37,16
1,595,16
2,8,16
6,111,16
7,32,16
8,8,16
9,7,16
0,95,19
1,101,19
2,120,19
3,5,19
4,73,19
5,44,19
6,166,19
7,14,19
8,45,19
9,132,19
0,8,15
1,97,15
2,45,15
4,295,15
5,67,15
6,74,15
7,121,15
8,45,15
9,43,15
0,102,14
1,114,14
2,67,14
3,170,14
5,20,14
6,61,14
7,149,14
8,60,14
9,54,14
0,7,10
1,177,10
2,8,10
3,42,10
4,88,10
5,260,10
7,196,10
8,7,10
9,12,10
0,36,12
1,286,12
2,46,12
3,4,12
4,104,12
5,3,12
6,6,12
7,62,12
8,40,12
